depart,arrivee,prix,duree,type_client,demande
Orly,Terminal 2,30,30,Tous,moyen
Beauvais,Paris Centre,95,90,Touriste,fort
Beauvais,Paris 8e,98,95,Touriste,moyen
Beauvais,Disneyland Paris,110,100,Famille,moyen
Beauvais,Gare du Nord,90,85,Touriste,moyen
Paris Centre,CDG,45,45,Tous,fort
Paris 8e,CDG,50,50,Business,fort
Paris 16e,CDG,55,55,Luxe,fort
Paris Centre,Orly,38,35,Tous,fort
Paris 8e,Orly,42,40,Business,fort
Paris 16e,Orly,42,40,Luxe,fort
Disneyland Paris,CDG,60,40,Famille,fort
Disneyland Paris,Orly,65,55,Famille,fort
Disneyland Paris,Beauvais,110,100,Famille,moyen
Disneyland Paris,Paris Centre,55,45,Famille,fort
Disneyland Paris,Paris 8e,58,48,Famille,fort
Disneyland Paris,Paris 16e,60,50,Famille,fort
Disneyland Paris,Versailles,70,60,Famille,moyen
Disneyland Paris,Gare du Nord,65,55,Famille,moyen
Disneyland Paris,Gare de Lyon,60,50,Famille,moyen
Disneyland Disney Hotel,CDG,60,40,Famille,fort
Disneyland Newport Bay,CDG,60,40,Famille,moyen
Disneyland New York,CDG,60,40,Famille,moyen
Disneyland Cheyenne,CDG,60,40,Famille,moyen
Disneyland Sequoia Lodge,CDG,60,40,Famille,moyen
Versailles,CDG,75,65,Touriste,fort
Versailles,Orly,55,45,Touriste,moyen
Versailles,Paris Centre,45,40,Touriste,fort
Versailles,Disneyland Paris,70,60,Touriste,moyen
Paris,Versailles,45,40,Touriste,fort
Paris,Fontainebleau,85,70,Touriste,moyen
Paris,Chantilly,75,60,Touriste,moyen
Paris,Giverny,130,90,Touriste,moyen
Paris,Chartres,120,90,Touriste,moyen
Paris,Reims,180,140,Touriste,faible
Paris,Épernay,170,130,Touriste,faible
Paris,Vaux-le-Vicomte,75,60,Touriste,moyen
Paris,Senlis,70,55,Touriste,faible
Paris,Auvers-sur-Oise,65,55,Touriste,faible
Gare du Nord,CDG,40,35,Business,fort
Gare du Nord,Orly,45,40,Business,moyen
Gare du Nord,Disneyland Paris,70,60,Famille,moyen
Gare de Lyon,CDG,50,50,Business,moyen
Gare de Lyon,Orly,35,30,Business,fort
Gare de Lyon,Disneyland Paris,65,55,Famille,moyen
Gare Montparnasse,CDG,55,55,Business,moyen
Gare Montparnasse,Orly,35,25,Business,fort
Gare Montparnasse,Versailles,35,30,Touriste,moyen
Gare de l'Est,CDG,42,40,Business,moyen
Gare Saint-Lazare,CDG,46,48,Business,moyen
CDG,Orly,65,60,Tous,fort
Orly,CDG,65,60,Tous,fort
CDG,Beauvais,90,80,Touriste,moyen
Orly,Beauvais,110,100,Touriste,faible
VTC Paris,CDG nuit,55,50,Tous,fort
VTC Paris,Orly nuit,45,40,Tous,fort
VTC Paris,CDG 4h matin,55,50,Tous,fort
VTC Paris,CDG 5h matin,55,50,Tous,fort
VTC Paris,CDG 6h matin,50,45,Tous,fort
CDG,Paris mariage,80,50,Événement,moyen
Paris,Salon Villepinte,45,40,Business,moyen
Paris,Roland Garros,35,25,Touriste,moyen
Paris,Stade de France,35,30,Événement,moyen
Paris,Paris Fashion Week,50,35,Luxe,moyen
CDG,Lyon,350,240,Business,faible
CDG,Lille,180,120,Business,moyen
CDG,Bruxelles,280,180,Business,faible
CDG,Genève,550,300,Business,faible
